,Кол-во генов в кластере,Z_max,Z_mean,Кол-во родов в кластере,Имя гена в кластере,Кол-во участков с Z-DNA в промоутере
310,35,783.823,783.823,29,MULTISPECIES: 50S ribosomal protein L7/L12 [Serratia],1
311,35,29467.88,6126.461540000001,32,"MULTISPECIES: 6,7-dimethyl-8-ribityllumazine synthase [Serratia]",15
312,35,38833.58,6596.534816666666,34,MULTISPECIES: putative lipid II flippase FtsW [Proteobacteria],18
313,35,3428.529,1535.5381214285715,34,RNA-binding transcriptional accessory protein [Vibrio furnissii],14
314,35,138924.1,25284.269788235295,34,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD [Vibrio cholerae],17
315,35,3428.529,1042.85158,34,MULTISPECIES: DNA helicase Rep [Vibrio],15
316,35,980.8116,980.8116,22,MULTISPECIES: 50S ribosomal protein L35 [Bacteria],3
317,35,13713.99,3905.565755555555,33,MULTISPECIES: inositol-1-monophosphatase [Serratia],27
318,35,4545.701,2083.3557699999997,34,MULTISPECIES: shikimate dehydrogenase [Vibrio],10
319,35,66470.78,33563.94795,33,MULTISPECIES: phosphoribosylglycinamide formyltransferase [Kosakonia],2
320,35,198956.2,34542.47953333334,34,MULTISPECIES: signal peptidase I [Vibrio],6
321,35,2752.447,1722.7798333333333,29,MULTISPECIES: YbaB/EbfC family nucleoid-associated protein [Serratia],6
322,35,,,23,MULTISPECIES: acyl carrier protein [Bacteria],0
323,35,38833.58,4733.084340909091,34,"MULTISPECIES: (2E,6E)-farnesyl diphosphate synthase [Vibrio]",22
324,35,17253.57,4737.539424999999,32,MULTISPECIES: diaminopimelate epimerase [Serratia],8
325,35,904.32,798.64634,32,MULTISPECIES: CNNM family magnesium/cobalt transport protein CorC [Serratia],5
326,35,883.5764,883.5764,30,MULTISPECIES: preprotein translocase subunit YajC [Serratia],2
327,35,883.5764,836.1611133333333,31,MULTISPECIES: 50S ribosomal protein L10 [Serratia],15
328,35,49376.54,9068.387744444444,34,MULTISPECIES: replication-associated recombination protein A [Vibrio],18
329,35,8485.756,3274.8849583333326,34,bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase [Vibrio cholerae],12
330,35,2997.09,1510.0631812500003,34,bifunctional uridylyltransferase/uridylyl-removing protein GlnD [Vibrio cholerae],16
331,35,66470.78,6164.50011764706,33,MULTISPECIES: 3-deoxy-manno-octulosonate-8-phosphatase KdsC [Serratia],17
332,35,4263.555,1337.9295142857143,34,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [Vibrio furnissii],7
333,35,3428.529,1642.7676666666669,34,peptide chain release factor N(5)-glutamine methyltransferase [Acinetobacter bouvetii],12
334,35,28780.5,3147.6544285714285,34,lipid-A-disaccharide synthase [Vibrio cholerae],14
335,35,4545.701,1695.10695,29,MULTISPECIES: ATP-dependent Clp protease adapter ClpS [Serratia],8
336,35,1726.678,1085.2114166666668,33,MULTISPECIES: RNA polymerase factor sigma-54 [Kosakonia],6
337,35,3512.018,1550.8430153846155,30,MULTISPECIES: 23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH [Serratia],13
338,35,13713.99,9347.63632,33,MULTISPECIES: threonine--tRNA ligase [Serratia],5
339,35,27872.66,6726.13336,30,MULTISPECIES: Fe-S biogenesis protein NfuA [Serratia],5
340,35,10272.33,4372.744933333333,31,MULTISPECIES: ribosome maturation factor RimP [Serratia],9
341,35,6832.989,2685.066533333333,33,MULTISPECIES: acetyl-CoA carboxylase biotin carboxyl carrier protein [Kosakonia],9
342,35,1037.253,928.6815333333333,34,bifunctional riboflavin kinase/FAD synthetase [Vibrio cholerae],9
343,35,9852.15,2250.2417555555553,34,nucleoside triphosphate pyrophosphohydrolase [Vibrio cholerae],9
344,35,38833.58,4386.277263636363,33,MULTISPECIES: type I methionyl aminopeptidase [Serratia],11
345,35,12723.6,3156.2037333333333,33,MULTISPECIES: Holliday junction branch migration protein RuvA [Serratia],6
346,35,4545.701,1560.12738125,33,MULTISPECIES: DNA repair protein RadC [Serratia],16
347,35,38833.58,13463.7783,34,Maf-like protein [Vibrio cholerae],4
348,35,3428.529,1661.462166666667,29,MULTISPECIES: peptidylprolyl isomerase [Serratia],6
349,35,10894.72,2173.3566444444446,34,DNA-processing protein DprA [Vibrio cholerae],9
350,35,138924.1,13457.6640125,34,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [Vibrio furnissii]",16
351,35,883.5764,750.3633571428571,29,MULTISPECIES: peptidoglycan-associated lipoprotein Pal [Kosakonia],7
352,35,3428.529,1908.42675,34,threonylcarbamoyl-AMP synthase [Vibrio cholerae],4
353,35,16770.32,4818.98652,34,deoxyribodipyrimidine photo-lyase [Vibrio furnissii],10
354,35,3428.529,1656.905675,34,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD [Vibrio cholerae],8
355,35,3858.662,1952.1954624999998,34,bifunctional 23S rRNA (guanine(2069)-N(7))-methyltransferase RlmK/23S rRNA (guanine(2445)-N(2))-methyltransferase RlmL [Acinetobacter soli],8
356,35,2752.447,1129.6052454545454,33,MULTISPECIES: phosphate regulon sensor histidine kinase PhoR [Serratia],11
357,35,37878.25,6129.798128571428,34,tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA [Vibrio furnissii],7
358,35,27872.66,6170.0324500000015,34,MULTISPECIES: ubiquinone biosynthesis regulatory protein kinase UbiB [Vibrio],6
359,35,29467.88,7145.639028571429,34,ATP-dependent RNA helicase HrpA [Vibrio furnissii],7
360,35,13713.99,2331.246886666667,31,MULTISPECIES: zinc uptake transcriptional repressor Zur [Serratia],15
361,35,13713.99,2659.2987333333335,33,MULTISPECIES: tRNA pseudouridine(55) synthase TruB [Serratia],9
362,35,3428.529,1322.2328466666663,24,MULTISPECIES: 50S ribosomal protein L29 [Bacteria],15
363,35,49376.54,6280.863841666666,34,MULTISPECIES: ArsC family reductase [Vibrio],12
364,35,50885.97,8426.44422142857,34,sigma E protease regulator RseP [Vibrio cholerae],14
365,35,12351.13,2034.99421,33,MULTISPECIES: 4-hydroxy-tetrahydrodipicolinate synthase [Serratia],10
366,35,8323.257,2213.8168699999997,34,YdiU family protein [Vibrio furnissii],10
367,35,13713.99,2782.807083333333,33,MULTISPECIES: NAD(P)H-dependent glycerol-3-phosphate dehydrogenase [Kosakonia],12
368,35,3858.662,2401.79504,33,MULTISPECIES: Re/Si-specific NAD(P)(+) transhydrogenase subunit beta [Serratia],5
369,35,13072.54,2108.3700555555556,32,MULTISPECIES: ribosome maturation factor RimM [Enterobacteriaceae],9
370,35,2606.229,1664.5192272727274,34,DNA mismatch repair protein MutS [Vibrio furnissii],11
371,35,2347.625,1048.241490909091,34,"UDP-2,3-diacylglucosamine diphosphatase [Acinetobacter soli]",11
372,35,10894.72,4105.985166666666,29,MULTISPECIES: ribosome assembly RNA-binding protein YhbY [Enterobacterales],3
373,35,1228.72,741.0864857142858,33,MULTISPECIES: 23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ [Serratia],7
374,35,13713.99,3487.956066666667,32,MULTISPECIES: F0F1 ATP synthase subunit delta [Kosakonia],6
375,35,3428.529,1879.3474,24,MULTISPECIES: 50S ribosomal protein L30 [Bacteria],4
376,35,8485.756,3142.1751,34,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [Vibrio cholerae],6
377,35,27872.66,4556.359416666666,34,tRNA glutamyl-Q(34) synthetase GluQRS [Vibrio cholerae],12
378,35,13713.99,2222.101605882353,34,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Vibrio cholerae],17
379,35,3428.529,2291.333646153846,32,MULTISPECIES: polynucleotide adenylyltransferase PcnB [Serratia],13
380,35,4545.701,1608.8562285714286,17,MULTISPECIES: DNA-binding transcriptional regulator Fis [Bacteria],7
381,35,27872.66,3481.6964399999997,33,MULTISPECIES: acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase [Kosakonia],10
382,35,2091.083,968.367,34,ribonuclease HII [Vibrio cholerae],8
383,35,13713.99,3995.3482,33,MULTISPECIES: lipoyl(octanoyl) transferase LipB [Serratia],4
384,35,13713.99,2032.052557142857,32,MULTISPECIES: YciI family protein [Aeromonas],14
385,35,13713.99,3678.6689400000005,34,2-octaprenyl-6-methoxyphenyl hydroxylase [Acinetobacter bouvetii],5
386,35,28780.5,6366.413428571429,34,glucose-6-phosphate isomerase [Vibrio cholerae],7
387,35,13713.99,5387.9649,34,tryptophan synthase subunit alpha [Vibrio furnissii],4
388,35,3051.765,1295.53368,34,MULTISPECIES: multifunctional acyl-CoA thioesterase I/protease I/lysophospholipase L1 [Vibrio],5
389,35,6565.992,2465.79519,31,MULTISPECIES: stringent starvation protein A [Serratia],10
390,35,3428.529,1608.4687000000001,33,MULTISPECIES: lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase [Serratia],9
391,35,198956.2,14645.675072727272,34,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB [Vibrio cholerae],22
392,35,13713.99,2103.18075,33,MULTISPECIES: methylenetetrahydrofolate reductase [Enterobacteriaceae],12
393,35,3428.529,1726.9205692307692,34,adenosylmethionine--8-amino-7-oxononanoate transaminase [Vibrio furnissii],13
394,35,4545.701,1823.0696799999998,32,MULTISPECIES: leucyl aminopeptidase [Serratia],5
395,35,2752.447,1048.7841222222223,33,MULTISPECIES: multifunctional CCA addition/repair protein [Kosakonia],9
396,35,3428.529,1167.8641384615385,34,thiazole synthase [Vibrio cholerae],13
397,35,980.8116,791.5569,32,MULTISPECIES: rRNA maturation RNase YbeY [Serratia],4
398,35,66470.78,9576.29866470588,34,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB [Vibrio furnissii],17
399,35,32704.39,5804.654733333334,34,NAD(P)H nitroreductase [Vibrio cholerae],21
400,35,2183.574,1060.7349,34,MULTISPECIES: pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase [Vibrio],5
401,35,2096.109,1260.3183500000002,32,MULTISPECIES: adenylate kinase [Serratia],16
402,35,13713.99,2147.688988888889,34,MULTISPECIES: 7-cyano-7-deazaguanine synthase QueC [Vibrio],18
403,35,3428.529,2641.27425,32,MULTISPECIES: outer membrane protein assembly factor BamD [Serratia],4
404,35,3428.529,1814.319245,34,MULTISPECIES: 16S rRNA (uracil(1498)-N(3))-methyltransferase [Vibrio],20
405,35,941334.2,61807.54251052631,33,MULTISPECIES: Holliday junction resolvase RuvX [Kosakonia],19
406,35,904.32,904.32,34,MULTISPECIES: peptidylprolyl isomerase SurA [Vibrio],4
407,35,38833.58,12161.345857142858,34,glutamate--tRNA ligase [Vibrio furnissii],14
408,35,2173.083,1115.2830399999998,31,MULTISPECIES: DNA replication/repair protein RecF [Serratia],5
409,35,908.3955,837.50935,34,MULTISPECIES: phosphatidate cytidylyltransferase [Vibrio],2
410,35,3428.529,1627.2743333333335,34,MULTISPECIES: Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha [Vibrio],3
411,35,16271.57,4275.906633333333,31,MULTISPECIES: SPFH/Band 7/PHB domain protein [Serratia],6
412,35,1132.923,917.5230899999999,34,type IV-A pilus assembly ATPase PilB [Vibrio furnissii],10
413,35,3428.529,1299.2743666666668,34,MULTISPECIES: YciK family oxidoreductase [Vibrio],12
414,35,38833.58,8200.6928,34,MULTISPECIES: YraN family protein [Vibrio],9
415,35,941334.2,115521.85662222221,34,MULTISPECIES: type IV pilus twitching motility protein PilT [Vibrio],9
416,35,13713.99,9070.724242857144,33,MULTISPECIES: pyridoxine 5'-phosphate synthase [Enterobacteriaceae],14
417,35,1202.592,954.3907466666667,34,FAD-dependent 2-octaprenylphenol hydroxylase [Vibrio cholerae],15
418,35,8156.898,2306.1801363636364,30,MULTISPECIES: oxidative damage protection protein [Enterobacterales],11
419,35,3661.11,1373.726792857143,34,MULTISPECIES: HRDC domain-containing protein [Acinetobacter],14
420,35,38833.58,12635.395092307694,33,MULTISPECIES: undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase [Serratia],13
421,35,1301.77,1162.3721333333333,30,MULTISPECIES: colicin uptake protein TolR [Serratia],3
422,35,3858.662,1132.6617857142858,34,prephenate dehydratase [Vibrio cholerae],14
423,35,3661.11,1848.8212,31,MULTISPECIES: inner membrane protein YpjD [Serratia],11
424,35,13713.99,2235.5304,31,MULTISPECIES: flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [Psychrobacter],11
425,35,13713.99,3492.0396076923084,34,exodeoxyribonuclease V subunit alpha [Vibrio furnissii],13
426,35,28780.5,7001.200057142857,33,MULTISPECIES: NAD(+) diphosphatase [Kosakonia],7
427,35,1323.054,1030.0689333333332,31,MULTISPECIES: ribosome hibernation promoting factor [Serratia],3
428,35,13713.99,4477.421714285714,34,5-formyltetrahydrofolate cyclo-ligase [Vibrio cholerae],7
429,35,4576.539,2180.666338461538,34,MULTISPECIES: ribosomal protein S18-alanine N-acetyltransferase [Vibrio],13
430,35,1413.119,619.278925,28,MULTISPECIES: preprotein translocase subunit SecE [Enterobacteriaceae],8
431,35,2183.574,1001.6865,34,MULTISPECIES: outer membrane lipoprotein chaperone LolA [Acinetobacter],4
432,35,37878.25,4724.916211111111,32,MULTISPECIES: tol-pal system-associated acyl-CoA thioesterase [Serratia],18
433,35,13713.99,3941.7081500000004,34,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase [Vibrio furnissii],22
434,35,38833.58,14560.634890909092,34,LPS export ABC transporter permease LptG [Vibrio cholerae],11
435,35,3428.529,2233.799542857143,34,LPS assembly protein LptD [Vibrio cholerae],7
436,35,1733.503,1025.2308333333333,31,MULTISPECIES: succinate dehydrogenase cytochrome b556 subunit [Serratia],6
437,35,5351.021,2276.004825,31,MULTISPECIES: elongation factor P [Serratia],4
438,35,10272.33,3153.2439533333327,34,MULTISPECIES: disulfide bond formation protein DsbB [Vibrio],15
439,35,2752.447,1439.79308,31,MULTISPECIES: rhodanese-like domain-containing protein [Aeromonas],5
440,35,17253.57,5050.17008,34,MULTISPECIES: YcgL domain-containing protein [Vibrio],5
441,35,941334.2,117219.17585,34,virulence factor BrkB family protein [Vibrio cholerae],10
442,35,6408.923,1665.6126888888887,34,tRNA lysidine(34) synthetase TilS [Vibrio furnissii],9
443,35,2659.79,1208.06383125,32,MULTISPECIES: 3-isopropylmalate dehydrogenase [Serratia],16
444,35,13713.99,1641.281956521739,34,MULTISPECIES: DNA repair protein RecO [Vibrio],23
445,35,13713.99,3698.04355,32,MULTISPECIES: acetylglutamate kinase [Enterobacteriaceae],6
446,35,4553.39,1746.8804400000001,34,DNA polymerase III subunit delta' [Vibrio furnissii],10
447,35,28780.5,11340.911250000001,34,N-acetyl-gamma-glutamyl-phosphate reductase [Vibrio cholerae],4
448,35,2173.083,1332.8573666666668,32,MULTISPECIES: thymidylate synthase [Serratia],3
449,35,13713.99,2875.4693714285713,34,MULTISPECIES: MFS transporter [Vibrio],14
450,35,138924.1,12345.087569230769,33,MULTISPECIES: tRNA (cytosine(32)/uridine(32)-2'-O)-methyltransferase TrmJ [Kosakonia],13
451,35,3428.529,1913.49764,30,MULTISPECIES: cell division topological specificity factor MinE [Serratia],5
452,35,980.8116,897.0745000000001,34,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase [Vibrio cholerae],3
453,35,980.8116,858.8583333333332,34,MULTISPECIES: LPS export ABC transporter permease LptF [Vibrio],3
454,35,27872.66,6338.118060000001,34,M48 family metallopeptidase [Vibrio cholerae],5
455,35,3428.529,1722.5598,32,MULTISPECIES: FAD assembly factor SdhE [Kosakonia],12
456,35,3428.529,1495.2641199999998,33,MULTISPECIES: histidine--tRNA ligase [Kosakonia],5
457,35,2173.083,1585.28008,29,MULTISPECIES: cell division protein FtsA [Serratia],5
458,35,2752.447,1051.0276222222221,34,7-carboxy-7-deazaguanine synthase QueE [Vibrio cholerae],9
459,35,959.6069,710.197125,34,signal recognition particle-docking protein FtsY [Vibrio furnissii],4
460,35,1493.421,1035.1378545454545,31,MULTISPECIES: electron transport complex subunit RsxB [Serratia],11
461,35,2218.936,1238.9554500000002,30,MULTISPECIES: hypoxanthine phosphoribosyltransferase [Serratia],12
462,35,9852.15,2238.8611142857144,31,MULTISPECIES: rod shape-determining protein MreD [Serratia],7
463,35,3881.305,1269.4860199999998,34,MULTISPECIES: isocitrate lyase [Vibrio],10
464,35,1034.114,1014.1350000000001,33,MULTISPECIES: argininosuccinate synthase [Serratia],3
465,35,13713.99,4873.551125,34,DegQ family serine endoprotease [Vibrio cholerae],4
466,35,7973.084,1465.2477466666667,31,MULTISPECIES: 23S rRNA accumulation protein YceD [Kosakonia],15
467,35,3428.529,2332.9248187499998,30,MULTISPECIES: ribonuclease P protein component [Serratia],16
468,35,4876.735,1684.7757400000003,33,MULTISPECIES: lipopolysaccharide ABC transporter substrate-binding protein LptA [Serratia],5
469,35,3661.11,2047.881258333333,34,NAD-dependent DNA ligase LigA [Vibrio cholerae],12
470,35,9492.083,4323.83128,34,AI-2E family transporter [Vibrio cholerae],5
471,35,980.8116,840.7976,31,MULTISPECIES: Fe-S cluster assembly transcriptional regulator IscR [Serratia],2
472,35,28780.5,5854.284389999999,34,MULTISPECIES: ComF family protein [Acinetobacter],10
473,35,38833.58,11168.371670588233,34,outer membrane protein assembly factor BamB [Vibrio cholerae],17
474,35,13713.99,3681.3857947368424,34,murein transglycosylase [Vibrio cholerae],19
475,35,3333.338,1390.788077777778,31,MULTISPECIES: NAD(+) kinase [Serratia],9
476,35,4545.701,2093.069,33,MULTISPECIES: YecA family protein [Enterobacteriaceae],3
477,35,9492.083,2670.733753846154,34,type II secretion system F family protein [Vibrio furnissii],13
478,35,48804.94,5911.773030769231,34,peptidoglycan editing factor PgeF [Vibrio cholerae],13
479,35,3428.529,1898.43055,34,tRNA-modifying protein YgfZ [Vibrio furnissii],6
480,35,8485.756,2699.606013333333,34,DNA polymerase III subunit delta [Vibrio furnissii],15
481,35,2945.877,1022.6344692307692,34,peptidylprolyl isomerase [Vibrio furnissii],13
482,35,980.8116,802.0970875,33,MULTISPECIES: YfgM family protein [Kosakonia],8
483,35,17253.57,4096.0569399999995,33,MULTISPECIES: DNA polymerase III subunit epsilon [Kosakonia],5
484,35,13713.99,1810.7220066666666,34,ABC transporter permease [Vibrio furnissii],15
485,35,10272.33,2235.892633333334,33,MULTISPECIES: cell division protein FtsQ [Serratia],12
486,35,3428.529,1557.30414,34,MULTISPECIES: ComEA family DNA-binding protein [Gammaproteobacteria],10
487,35,38833.58,4837.61110625,33,"MULTISPECIES: bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase [Kosakonia]",16
488,35,2752.447,1141.1411454545453,31,MULTISPECIES: BolA family iron metabolism protein IbaG [Aeromonas],11
489,35,4545.701,1691.5662904761903,34,MULTISPECIES: arginine--tRNA ligase [Vibrio],21
490,35,3403.051,1418.2457153846156,34,aminodeoxychorismate synthase component 1 [Vibrio furnissii],13
491,35,3428.529,1995.0305818181819,31,MULTISPECIES: ribosome-associated protein [Serratia],11
492,35,4545.701,1533.5894666666668,33,MULTISPECIES: DNA polymerase III subunit chi [Kosakonia],9
493,35,3403.051,1221.5806363636364,31,MULTISPECIES: Tol-Pal system beta propeller repeat protein TolB [Serratia],11
494,35,138924.1,13489.00575,34,MULTISPECIES: uroporphyrinogen-III synthase [Vibrio],16
495,35,28780.5,7360.043057142858,34,exodeoxyribonuclease V subunit beta [Vibrio furnissii],7
496,35,2752.447,1485.3274545454547,33,MULTISPECIES: sulfur carrier protein ThiS [Kosakonia],11
497,35,38833.58,5803.50224,34,translocation/assembly module TamB [Vibrio furnissii],10
498,35,8485.756,4298.365533333333,30,MULTISPECIES: F0F1 ATP synthase subunit B [Serratia],3
499,35,8485.756,2526.3240444444446,33,MULTISPECIES: lipoprotein insertase outer membrane protein LolB [Kosakonia],9
500,35,1323.054,999.4968789473684,31,MULTISPECIES: transcription antitermination factor NusB [Enterobacterales],19
501,35,3993.322,3710.9255000000003,34,DNA translocase FtsK [Vibrio furnissii],2
502,35,17253.57,3260.7539444444446,34,exodeoxyribonuclease V subunit gamma [Vibrio furnissii],9
503,35,65884.11,18029.706449999998,34,MULTISPECIES: septum site-determining protein MinC [Vibrio],4
504,35,8485.756,1998.1187454545454,34,rhomboid family intramembrane serine protease GlpG [Vibrio cholerae],11
505,35,1726.678,1445.6441333333335,30,MULTISPECIES: preprotein translocase subunit SecG [Serratia],3
506,35,3428.529,1929.9855300000004,34,cytoskeleton protein RodZ [Vibrio cholerae],10
507,35,10894.72,3227.2778999999996,34,aminopeptidase N [Vibrio furnissii],6
508,35,1228.72,938.4319666666667,34,MULTISPECIES: malate dehydrogenase [Vibrio],6
509,35,13713.99,3647.1604,34,LPS assembly lipoprotein LptE [Vibrio furnissii],6
510,35,18247.98,2707.836747368421,34,MULTISPECIES: two-component system sensor histidine kinase EnvZ [Vibrio],19
511,35,38833.58,5501.621188888889,34,molybdenum cofactor guanylyltransferase [Acinetobacter bouvetii],9
512,35,8922.646,1724.0027222222225,32,MULTISPECIES: phosphoribosylaminoimidazolesuccinocarboxamide synthase [Kosakonia],9
513,35,8485.756,2054.304014285714,34,ammonia-dependent NAD(+) synthetase [Vibrio furnissii],7
528,34,4545.701,2652.6154545454547,34,transcription-repair coupling factor [Vibrio cholerae],11
529,34,13713.99,4368.118100000001,31,MULTISPECIES: uracil phosphoribosyltransferase [Aeromonas],4
530,34,3428.529,2106.6079400000003,33,MULTISPECIES: peptide chain release factor 2 [Kosakonia],5
531,34,2752.447,1310.0656294117648,30,MULTISPECIES: glycine--tRNA ligase subunit alpha [Serratia],17
532,34,4545.701,1493.5846699999997,32,MULTISPECIES: ATP-dependent Clp protease ATP-binding subunit ClpA [Serratia],20
533,34,9721.919,9721.919,34,MULTISPECIES: peptide chain release factor 1 [Vibrio],1
534,34,1390.269,1007.250625,31,MULTISPECIES: iron-sulfur cluster insertion protein ErpA [Kosakonia],4
535,34,2997.09,1500.961217647059,34,MULTISPECIES: carbamoyl-phosphate synthase large subunit [Vibrio],17
536,34,38833.58,10953.94797,31,MULTISPECIES: SsrA-binding protein SmpB [Serratia],20
537,34,3428.529,1277.3096733333334,27,MULTISPECIES: transcription termination factor Rho [Enterobacteriaceae],15
538,34,2173.083,1580.3181666666667,34,MULTISPECIES: ABC transporter ATP-binding protein [Vibrio],12
539,34,2407.153,1178.3799111111111,33,MULTISPECIES: GTPase HflX [Enterobacterales],9
540,34,9300.843,5745.449307142858,33,MULTISPECIES: molecular chaperone DnaK [Serratia],14
541,34,1202.592,1043.0842,31,MULTISPECIES: RNA pyrophosphohydrolase [Serratia],2
542,34,38833.58,2816.0567677419353,33,MULTISPECIES: dihydroxy-acid dehydratase [Kosakonia],31
543,34,3428.529,1767.8963000000003,34,MULTISPECIES: ATP-dependent chaperone ClpB [Vibrio],4
544,34,48804.94,6995.161163636364,34,excinuclease ABC subunit UvrA [Vibrio furnissii],22
545,34,38833.58,3978.9470500000007,32,MULTISPECIES: F0F1 ATP synthase subunit gamma [Serratia],12
546,34,13713.99,2369.2648090909092,34,MULTISPECIES: site-specific tyrosine recombinase XerD [Vibrio],11
547,34,,,29,MULTISPECIES: ferric iron uptake transcriptional regulator [Enterobacteriaceae],0
548,34,2057.902,1633.209,34,MULTISPECIES: glutamine--tRNA ligase [Vibrio],3
549,34,3881.305,1512.5769272727273,34,single-stranded-DNA-specific exonuclease RecJ [Vibrio cholerae],11
550,34,4545.701,1980.587825,34,tRNA 2-thiocytidine(32) synthetase TtcA [Vibrio cholerae],8
551,34,980.8116,850.2525399999998,34,MULTISPECIES: ribosome biogenesis GTP-binding protein YihA/YsxC [Vibrio],5
552,34,3428.529,1656.2815666666668,34,MULTISPECIES: tRNA epoxyqueuosine(34) reductase QueG [Vibrio],6
553,34,6680.689,2070.7435636363643,20,MULTISPECIES: 50S ribosomal protein L28 [Bacteria],11
554,34,8323.257,2096.659540909091,34,radical SAM family heme chaperone HemW [Vibrio furnissii],22
555,34,66470.78,8307.0235,34,MULTISPECIES: leucyl/phenylalanyl-tRNA--protein transferase [Acinetobacter],9
556,34,4545.701,3637.889,33,MULTISPECIES: beta-ketoacyl-ACP synthase I [Serratia],2
557,34,8782.157,3775.6890750000002,34,MULTISPECIES: 3-isopropylmalate dehydratase large subunit [Vibrio],12
558,34,2752.447,1798.9178,31,MULTISPECIES: transcription elongation factor GreA [Enterobacterales],8
559,34,2752.447,1536.5455,34,penicillin-binding protein 1B [Vibrio cholerae],9
560,34,3661.11,1202.8035545454545,34,MULTISPECIES: cysteine--tRNA ligase [Vibrio],11
561,34,766.6232,766.6232,30,MULTISPECIES: DNA polymerase III subunit beta [Serratia],1
562,34,883.5764,883.5764,34,MULTISPECIES: tRNA (guanosine(46)-N7)-methyltransferase TrmB [Vibrio],4
563,34,3428.529,1777.06925,34,MULTISPECIES: bifunctional 3-demethylubiquinone 3-O-methyltransferase/2-octaprenyl-6-hydroxy phenol methylase [Vibrio],10
564,34,1469.169,987.5211,28,MULTISPECIES: shikimate kinase AroK [Enterobacteriaceae],2
565,34,7973.084,2625.605433333333,32,MULTISPECIES: 50S ribosomal protein L3 N(5)-glutamine methyltransferase [Serratia],9
566,34,8323.257,1964.78174,32,MULTISPECIES: protein translocase subunit SecF [Kosakonia],10
567,34,29467.88,15175.728200000001,34,MULTISPECIES: membrane protein insertase YidC [Vibrio],4
568,34,13713.99,2623.77502,34,carboxylating nicotinate-nucleotide diphosphorylase [Vibrio cholerae],10
569,34,37878.25,8745.313106666666,34,MULTISPECIES: thiamine-phosphate kinase [Vibrio],15
570,34,13713.99,5573.533244444446,32,MULTISPECIES: tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE [Enterobacteriaceae],9
571,34,,,33,MULTISPECIES: F0F1 ATP synthase subunit A [Serratia],0
572,34,23787.35,5510.780346153846,34,MULTISPECIES: dTMP kinase [Acinetobacter],13
573,34,6420.008,2481.3898999999997,34,bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase [Vibrio furnissii],12
574,34,614.1623,614.1623,33,MULTISPECIES: ATP-dependent RNA helicase RhlB [Kosakonia],1
575,34,13713.99,5800.531816666667,33,MULTISPECIES: nitrogen regulation protein NR(I) [Kosakonia],12
576,34,13713.99,3166.7362307692306,32,MULTISPECIES: bacterioferritin [Bacteria],13
577,34,8922.646,2355.4686,34,MULTISPECIES: glycerol-3-phosphate 1-O-acyltransferase PlsB [Vibrio],7
578,34,883.5764,883.5764,34,DNA repair protein RecN [Vibrio furnissii],1
579,34,2659.79,1144.0848666666666,33,MULTISPECIES: trigger factor [Serratia],6
580,34,138924.1,69853.9615,32,MULTISPECIES: pyridoxal phosphate-dependent aminotransferase [Kosakonia],2
581,34,883.5764,883.5764,31,MULTISPECIES: chromosomal replication initiator protein DnaA [Serratia],3
582,34,138924.1,19631.617166666667,34,MULTISPECIES: imidazole glycerol phosphate synthase subunit HisH [Vibrio],12
583,34,783.823,783.823,34,nucleotide exchange factor GrpE [Vibrio cholerae],1
584,34,1057.108,971.6204666666667,31,MULTISPECIES: cell division protein FtsB [Enterobacterales],3
585,34,2752.447,1682.493142857143,33,MULTISPECIES: Hsp33 family molecular chaperone HslO [Serratia],7
586,34,17718.99,7791.41475,34,MULTISPECIES: A/G-specific adenine glycosylase [Serratia],4
587,34,3738.179,1813.99023125,34,MULTISPECIES: carboxy terminal-processing peptidase [Vibrio],16
588,34,68804.91,6046.418645000001,34,DNA primase [Vibrio furnissii],20
