# Species	Genes	Alg.-Conn.	GCF_000009365.1_ASM936v1_protein.faa	GCF_000012305.1_ASM1230v1_protein.faa	GCF_000299335.2_ASM29933v2_protein.faa	GCF_000300005.1_ASM30000v1_protein.faa	GCF_001298525.1_ASM129852v1_protein.faa	GCF_001606025.1_ASM160602v1_protein.faa	GCF_001642805.2_ASM164280v2_protein.faa	GCF_001658025.2_ASM165802v2_protein.faa	GCF_001683395.1_ASM168339v1_protein.faa	GCF_001753085.1_ASM175308v1_protein.faa	GCF_001995825.2_ASM199582v2_protein.faa	GCF_002196515.1_ASM219651v1_protein.faa	GCF_002208765.2_ASM220876v2_protein.faa	GCF_002215585.1_ASM221558v1_protein.faa	GCF_002240035.1_ASM224003v1_protein.faa	GCF_002327105.1_ASM232710v1_protein.faa	GCF_003957745.1_ASM395774v1_protein.faa	GCF_004089895.1_ASM408989v1_protein.faa	GCF_004571195.1_ASM457119v1_protein.faa	GCF_004768745.1_ASM476874v1_protein.faa	GCF_006364355.1_ASM636435v1_protein.faa	GCF_007361795.1_ASM736179v1_protein.faa	GCF_007795095.1_ASM779509v1_protein.faa	GCF_008330085.1_ASM833008v1_protein.faa	GCF_008369605.1_ASM836960v1_protein.faa	GCF_009914475.1_ASM991447v1_protein.faa	GCF_010587385.1_ASM1058738v1_protein.faa	GCF_010918895.1_ASM1091889v1_protein.faa	GCF_011764505.1_ASM1176450v1_protein.faa	GCF_015167415.1_ASM1516741v1_protein.faa	GCF_016026735.1_ASM1602673v1_protein.faa	GCF_016127195.1_ASM1612719v1_protein.faa	GCF_016834455.1_ASM1683445v1_protein.faa	GCF_017309605.1_ASM1730960v1_protein.faa	GCF_017310215.1_ASM1731021v1_protein.faa	GCF_017354925.1_ASM1735492v1_protein.faa	GCF_018139125.1_ASM1813912v1_protein.faa	GCF_018324105.1_ASM1832410v1_protein.faa	GCF_019343495.1_ASM1934349v1_protein.faa	GCF_019670705.1_ASM1967070v1_protein.faa	GCF_020149575.1_ASM2014957v1_protein.faa	GCF_020405345.1_ASM2040534v1_protein.faa	GCF_900187015.1_50465_F01_protein.faa	GCF_900637545.1_51438_G01_protein.faa	GCF_904848165.1_ASM90484816v1_protein.faa
45	72	0.214	WP_008930504.1,WP_011588406.1	WP_011281297.1	WP_008732971.1	WP_014996495.1	WP_062534155.1	WP_010197981.1	WP_004940327.1,WP_004847623.1	WP_002891893.1,WP_002438074.1	WP_002891893.1,WP_002438074.1	WP_011213200.1	WP_004738609.1,WP_017056636.1	WP_021020598.1,WP_088133439.1	WP_011514651.1	WP_033537934.1,WP_033539833.1	WP_094090327.1	WP_096008039.1,WP_096296768.1	WP_126166064.1,WP_126165812.1	WP_023478250.1,WP_023481188.1	WP_028385984.1	WP_004940327.1,WP_004847623.1	WP_038150877.1,WP_004729026.1	WP_058500529.1	WP_132998728.1	WP_002891893.1,WP_002438074.1	WP_000767166.1,WP_000717795.1	WP_004650081.1	WP_164649095.1,WP_164648875.1	WP_004281042.1	WP_173237937.1	WP_002891893.1,WP_002438074.1	WP_004847623.1,WP_004949337.1	WP_033114048.1,WP_005308848.1	WP_011759051.1,WP_011758768.1	WP_004940327.1,WP_004847623.1	WP_011704615.1,WP_005308848.1	WP_207322210.1,WP_207320781.1	WP_004281042.1	WP_004650081.1	WP_004281042.1	WP_100142136.1,WP_221049609.1	WP_005904813.1,WP_005895417.1	WP_005308655.1,WP_005308848.1	WP_004847623.1,WP_004949337.1	WP_011704615.1,WP_005308848.1	WP_131669382.1
25	25	0.594	*	*	*	*	*	*	WP_004936061.1	WP_043952894.1	WP_017458606.1	*	WP_077680184.1	WP_027693991.1	*	WP_033540210.1	*	*	WP_126166651.1	WP_023479712.1	*	WP_004936061.1	WP_038150998.1	*	*	WP_035889798.1	WP_001060892.1	*	WP_164648633.1	*	*	WP_086868037.1	WP_015673166.1	WP_042031801.1	WP_203326766.1	WP_004936061.1	WP_011704832.1	WP_207320088.1	*	*	*	WP_100142722.1	WP_224432137.1	WP_017779105.1	WP_061795792.1	WP_042654277.1	*
25	25	0.592	*	*	*	*	*	*	WP_025160368.1	WP_074922689.1	WP_017459630.1	*	WP_077680955.1	WP_088134042.1	*	WP_088903751.1	*	*	WP_126169356.1	WP_128483918.1	*	WP_033631321.1	WP_004728519.1	*	*	WP_007369218.1	WP_149560146.1	*	WP_164647036.1	*	*	WP_097401930.1	WP_054306362.1	WP_042030318.1	WP_203325059.1	WP_033645216.1	WP_206819281.1	WP_207320959.1	*	*	*	WP_221049870.1	WP_224433049.1	WP_201882541.1	WP_061799738.1	WP_042653112.1	*
25	25	0.592	*	WP_011281230.1	*	*	WP_062534016.1	WP_062845589.1	*	WP_064565318.1	WP_065368131.1	*	WP_077681016.1	WP_088133857.1	WP_011514582.1	WP_088905271.1	*	*	WP_126165845.1	*	*	*	WP_004724293.1	*	*	WP_149288626.1	WP_149560133.1	*	WP_164649520.1	*	*	WP_193820669.1	*	WP_042032205.1	WP_203326054.1	*	WP_206819273.1	WP_207324573.1	WP_151814907.1	*	*	WP_221049664.1	WP_224431384.1	WP_043169382.1	*	WP_042653137.1	WP_201498551.1
25	25	0.582	WP_011588569.1	*	WP_008737659.1	WP_014994332.1	*	*	*	*	*	*	WP_077680219.1	WP_021019032.1	*	WP_033539538.1	*	WP_096297630.1	WP_126167210.1	*	*	*	WP_004725413.1	*	WP_144890726.1	*	WP_000093315.1	WP_005179833.1	WP_164649698.1	WP_163166976.1	*	*	*	WP_042032318.1	WP_203324069.1	*	WP_065477845.1	WP_207324025.1	WP_004935419.1	WP_005011803.1	WP_219307073.1	WP_221050953.1	WP_042042905.1	WP_005300035.1	*	WP_042653618.1	*
25	25	0.581	*	WP_011280934.1	WP_008734435.1	WP_014996747.1	WP_062535399.1	WP_062844793.1	WP_019455234.1	WP_064567048.1	WP_065368683.1	*	WP_077679874.1	*	WP_011514255.1	*	*	*	*	WP_128483088.1	*	WP_016930438.1	WP_004729629.1	*	*	WP_149288892.1	*	WP_160232379.1	*	WP_004810752.1	*	WP_193822424.1	WP_054305714.1	*	*	WP_021505207.1	WP_206819720.1	*	*	*	WP_219309843.1	*	WP_224430775.1	*	WP_061799573.1	WP_042651439.1	WP_201497220.1
25	25	0.563	*	*	*	*	*	*	WP_063918201.1	WP_064568867.1	WP_017459746.1	*	WP_077680992.1	WP_088133826.1	*	WP_088906005.1	*	*	WP_237158673.1	WP_023479539.1	*	WP_048326585.1	WP_004724380.1	*	*	WP_090398673.1	WP_001067684.1	*	WP_164647082.1	*	*	WP_086868485.1	WP_054305772.1	WP_042031114.1	WP_239002055.1	WP_033645012.1	WP_206819048.1	WP_228289669.1	*	*	*	WP_221050138.1	WP_224431673.1	WP_201882054.1	WP_095095021.1	WP_042651546.1	*
25	25	0.553	WP_011587660.1	*	WP_008739724.1	WP_014996131.1	*	*	*	*	*	WP_010946312.1	WP_017056658.1	WP_021020604.1	*	WP_088905233.1	WP_094090132.1	WP_096296842.1	WP_126165985.1	*	WP_028386799.1	*	WP_004728980.1	WP_143867181.1	WP_246120955.1	*	WP_000949649.1	*	WP_164649073.1	*	WP_173237951.1	*	*	WP_042032862.1	WP_203326194.1	*	WP_206818530.1	WP_207325559.1	*	*	*	WP_221050663.1	WP_224431063.1	WP_226014060.1	*	WP_042652638.1	*
25	25	0.55	*	*	*	*	*	*	WP_004934493.1	WP_064569106.1	WP_065369811.1	*	WP_077681046.1	WP_021021394.1	*	WP_033538926.1	*	*	WP_126168889.1	WP_023479607.1	*	WP_004934493.1	WP_004728697.1	*	*	WP_007369124.1	WP_046122361.1	*	WP_164646981.1	*	*	WP_193821558.1	WP_054306811.1	WP_042032785.1	WP_203325560.1	WP_033644954.1	WP_024945460.1	WP_207325085.1	*	*	*	WP_221050131.1	WP_042039566.1	WP_005307448.1	WP_095095098.1	WP_042651613.1	*
25	25	0.548	*	*	*	*	*	*	WP_063918026.1	WP_043956404.1	WP_017457359.1	*	WP_077680812.1	WP_021020621.1	*	WP_033537410.1	*	*	WP_126169392.1	WP_023481039.1	*	WP_004933495.1	WP_004728944.1	*	*	WP_035887942.1	WP_001897601.1	*	WP_164649021.1	*	*	WP_020455412.1	WP_015670618.1	WP_033114490.1	WP_203326301.1	WP_004933495.1	WP_011705628.1	WP_207322237.1	*	*	*	WP_221049622.1	WP_042043737.1	WP_017765919.1	WP_061799855.1	WP_042652409.1	*
25	25	0.535	WP_011589035.1	WP_011279435.1	WP_008735052.1	WP_014995317.1	WP_062534569.1	WP_062843582.1	*	*	*	*	*	*	WP_011512506.1	WP_088904644.1	*	WP_096298211.1	WP_164551156.1	*	*	*	*	*	WP_246121107.1	*	*	WP_160240816.1	*	WP_004813910.1	*	*	*	WP_042031034.1	WP_239002119.1	*	WP_168756343.1	WP_207323897.1	WP_212515774.1	WP_167571624.1	WP_004281234.1	WP_221051071.1	WP_224432851.1	WP_226014491.1	*	WP_042652220.1	WP_201498150.1
25	25	0.523	*	*	WP_008738073.1	WP_014995630.1	*	*	WP_019455715.1	WP_064563950.1	WP_017457682.1	WP_010947266.1	WP_077681168.1	*	*	*	WP_094090866.1	WP_096297339.1	*	*	WP_028387066.1	WP_033632225.1	WP_004727080.1	WP_143867680.1	WP_144892733.1	WP_007370352.1	*	*	*	*	WP_173237112.1	WP_017457682.1	WP_054307710.1	WP_042032038.1	*	WP_042785275.1	WP_206819827.1	*	*	*	*	*	WP_224432749.1	WP_010634198.1	WP_061796802.1	WP_042653564.1	*
25	25	0.519	*	*	*	*	*	*	WP_019452311.1	WP_064564477.1	WP_065370326.1	*	WP_077680885.1	WP_027694218.1	*	WP_033539778.1	*	*	WP_126166009.1	WP_023481278.1	*	WP_015378809.1	WP_038152699.1	*	*	WP_035888221.1	WP_000763844.1	*	WP_164647362.1	*	*	WP_097400249.1	WP_054306833.1	WP_033112789.1	WP_203326217.1	WP_033644125.1	WP_206819380.1	WP_207322154.1	*	*	*	WP_100142034.1	WP_224431235.1	WP_041202893.1	WP_061796413.1	WP_232018958.1	*
25	25	0.519	*	*	*	*	*	*	WP_019454056.1	WP_064567835.1	WP_065368992.1	*	WP_017056400.1	WP_088133331.1	*	WP_088904666.1	*	*	WP_126169449.1	WP_076769558.1	*	WP_033633921.1	WP_004724593.1	*	*	WP_007373885.1	WP_000848402.1	*	WP_164648807.1	*	*	WP_193822085.1	WP_054305332.1	WP_042032419.1	WP_203327171.1	WP_033651164.1	WP_206819679.1	WP_207319804.1	*	*	*	WP_100143641.1	WP_042039711.1	WP_005299178.1	WP_061799958.1	WP_042651365.1	*
25	25	0.513	*	*	*	*	*	*	WP_025160092.1	WP_035889512.1	WP_071908240.1	*	WP_046223721.1	WP_088133438.1	*	WP_232479417.1	*	*	WP_164551250.1	WP_054804268.1	*	WP_025160092.1	WP_004724862.1	*	*	WP_035889512.1	WP_114724802.1	*	WP_164648872.1	*	*	WP_071908240.1	WP_041411716.1	WP_042032407.1	WP_203325525.1	WP_160203992.1	WP_016350239.1	WP_207321437.1	*	*	*	WP_221050123.1	WP_224432596.1	WP_010634455.1	WP_073970255.1	WP_042651388.1	*
25	25	0.513	*	*	*	*	*	*	WP_063919567.1	WP_064566095.1	WP_016495891.1	*	WP_017057093.1	WP_021020441.1	*	WP_088904303.1	*	*	WP_126166357.1	WP_054803435.1	*	WP_033632924.1	WP_004725511.1	*	*	WP_007371955.1	WP_095487940.1	*	WP_164648486.1	*	*	WP_097401092.1	WP_054305001.1	WP_041210362.1	WP_203326547.1	WP_004930575.1	WP_206819822.1	WP_207322578.1	*	*	*	WP_100145810.1	WP_042042888.1	WP_005300071.1	WP_061795131.1	WP_042653634.1	*
25	25	0.513	*	WP_011279605.1	*	*	WP_062534951.1	WP_062843771.1	WP_019453739.1	WP_064564834.1	WP_065370456.1	*	WP_017055014.1	WP_021021379.1	WP_011512698.1	*	*	*	*	WP_023479875.1	*	WP_015378590.1	WP_004726434.1	*	*	WP_007371061.1	WP_000886243.1	*	WP_164648681.1	*	*	WP_097400372.1	WP_054305586.1	WP_041209370.1	*	WP_033635345.1	WP_011705576.1	*	*	*	*	*	WP_042043484.1	WP_226014418.1	WP_061795776.1	WP_042651496.1	WP_201497939.1
25	25	0.498	*	*	*	*	*	*	WP_019454079.1	WP_043954291.1	WP_017455895.1	*	WP_017056791.1	WP_088134308.1	*	WP_088904055.1	*	*	WP_126167746.1	WP_054804213.1	*	WP_004939988.1	WP_004723914.1	*	*	WP_007373859.1	WP_001125920.1	*	WP_164647614.1	*	*	WP_020457014.1	WP_015671299.1	WP_042029833.1	WP_011760690.1	WP_025301844.1	WP_005298255.1	WP_207320494.1	*	*	*	WP_165565491.1	WP_224431136.1	WP_005298255.1	WP_061799286.1	WP_042652751.1	*
25	25	0.49	*	*	*	*	*	*	WP_015378582.1	WP_064564864.1	WP_017458602.1	*	WP_017056947.1	WP_021018861.1	*	WP_033538423.1	*	*	WP_126166859.1	WP_128482495.1	*	WP_015378582.1	WP_004725050.1	*	*	WP_007371083.1	WP_029627364.1	*	WP_164647781.1	*	*	WP_017458602.1	WP_015673162.1	WP_042032365.1	WP_203326949.1	WP_015378582.1	WP_206817670.1	WP_207319813.1	*	*	*	WP_221051080.1	WP_224430534.1	WP_010633794.1	WP_061795795.1	WP_042653666.1	*
25	25	0.489	*	*	*	*	*	*	WP_025160203.1	WP_074922736.1	WP_017460011.1	*	WP_017055908.1	WP_088134012.1	*	WP_033538584.1	*	*	WP_126166161.1	WP_023479398.1	*	WP_004929875.1	WP_038152521.1	*	*	WP_035890324.1	WP_000941132.1	*	WP_164647140.1	*	*	WP_097402113.1	WP_054307175.1	WP_041209226.1	WP_203326359.1	WP_033644369.1	WP_011707437.1	WP_207320420.1	*	*	*	WP_221050723.1	WP_042041651.1	WP_005305197.1	WP_061800448.1	WP_042652042.1	*
25	25	0.489	*	WP_011279606.1	*	*	WP_062534953.1	WP_062843772.1	WP_019453738.1	WP_064564837.1	WP_017458617.1	*	WP_017055015.1	WP_021021380.1	WP_011512699.1	*	*	*	*	WP_128482490.1	*	WP_004936100.1	WP_004726433.1	*	*	WP_007371062.1	WP_000347798.1	*	WP_164648680.1	*	*	WP_086871026.1	WP_015673182.1	WP_042029963.1	*	WP_033643875.1	WP_206819750.1	*	*	*	*	*	WP_042043485.1	WP_005299639.1	WP_061795777.1	WP_042651497.1	WP_201497938.1
25	25	0.486	*	*	*	*	*	*	WP_019452799.1	WP_007371594.1	WP_017456941.1	WP_010946165.1	WP_017055239.1	WP_021019162.1	*	WP_033538133.1	WP_198333266.1	WP_096298437.1	WP_126166966.1	WP_042713375.1	*	WP_004932333.1	WP_004727013.1	WP_143867762.1	*	WP_007371594.1	WP_172626064.1	*	WP_164651166.1	*	WP_173236084.1	WP_086874068.1	WP_015672609.1	*	WP_203327060.1	WP_033643346.1	*	WP_207322976.1	*	*	*	WP_100143564.1	*	*	WP_061794542.1	*	*
25	25	0.482	*	*	*	*	*	*	WP_019453648.1	WP_064564932.1	WP_065370490.1	*	WP_077680171.1	WP_021019521.1	*	WP_088904940.1	*	*	WP_126166709.1	WP_128482566.1	*	WP_135638385.1	WP_004724189.1	*	*	WP_007371138.1	WP_000228449.1	*	WP_164648741.1	*	*	WP_193820774.1	WP_054304736.1	WP_042029982.1	WP_203326822.1	WP_033643825.1	WP_029301303.1	WP_207324090.1	*	*	*	WP_100144038.1	WP_224430750.1	WP_201881719.1	WP_061795850.1	WP_042651479.1	*
25	25	0.465	*	*	*	*	*	*	WP_016926855.1	WP_064564818.1	WP_020454568.1	*	WP_017056440.1	WP_088133337.1	*	WP_088904357.1	*	*	WP_126167308.1	WP_023479659.1	*	WP_004936209.1	WP_004724623.1	*	*	WP_007371043.1	WP_000582706.1	*	WP_164647716.1	*	*	WP_020454568.1	WP_015673218.1	WP_041210342.1	WP_203324159.1	WP_016926855.1	WP_011705767.1	WP_207320133.1	*	*	*	WP_100142787.1	WP_042042874.1	WP_005300108.1	WP_095098581.1	WP_042653566.1	*
25	25	0.464	*	*	*	*	*	*	WP_004930552.1	WP_064566101.1	WP_016495896.1	*	WP_060468008.1	WP_021020436.1	*	WP_088904305.1	*	*	WP_126166362.1	WP_023478705.1	*	WP_015378011.1	WP_004725522.1	*	*	WP_007371960.1	WP_000043977.1	*	WP_164648481.1	*	*	WP_086868722.1	WP_054305010.1	WP_042032026.1	WP_203326552.1	WP_033643233.1	WP_206819823.1	WP_207322583.1	*	*	*	WP_039033898.1	WP_224432743.1	WP_024941345.1	WP_061795139.1	WP_042653639.1	*
25	25	0.458	*	*	*	*	*	*	WP_063917938.1	WP_064568363.1	WP_017458735.1	*	WP_017056272.1	WP_021020948.1	*	WP_088904201.1	*	*	WP_126166250.1	WP_128483601.1	*	WP_004931906.1	WP_004723963.1	*	*	WP_149289148.1	WP_172626007.1	*	WP_164647583.1	*	*	WP_086873142.1	WP_054306204.1	WP_033114237.1	WP_203326444.1	WP_033644866.1	WP_197918272.1	WP_207325727.1	*	*	*	WP_221049554.1	WP_224431044.1	WP_011705080.1	WP_095098988.1	WP_042654081.1	*
25	25	0.458	WP_011588148.1	*	*	*	*	*	WP_019454693.1	WP_064565019.1	WP_065370530.1	*	WP_017054972.1	WP_088134630.1	*	WP_033540645.1	*	WP_096298099.1	WP_126167829.1	WP_023479843.1	*	WP_004939471.1	WP_004727605.1	*	*	WP_007371206.1	*	*	*	*	*	WP_086868239.1	WP_015671483.1	WP_042030476.1	WP_203324603.1	WP_004939471.1	WP_130632999.1	WP_207320533.1	*	*	*	WP_025009045.1	WP_042042974.1	WP_005309414.1	WP_061797688.1	WP_042653047.1	*
25	25	0.452	WP_011589836.1	WP_011280209.1	WP_008739164.1	WP_014992603.1	WP_062533047.1	WP_062844700.1	*	*	*	WP_010948371.1	*	*	WP_011513813.1	WP_033540247.1	WP_094090198.1	WP_245815622.1	WP_126168618.1	*	WP_028387253.1	*	*	WP_058502966.1	WP_144890368.1	*	*	WP_160241261.1	*	WP_171521734.1	WP_173238008.1	*	*	*	WP_203325330.1	*	*	WP_207324946.1	WP_228301588.1	WP_228128342.1	WP_219309261.1	WP_100143356.1	*	*	*	*	WP_227676653.1
25	25	0.446	*	*	*	*	*	*	WP_015379416.1	WP_074922681.1	WP_065370665.1	*	WP_029626911.1	WP_088134050.1	*	WP_033537624.1	*	*	WP_126166479.1	WP_023479363.1	*	WP_033631325.1	WP_004728529.1	*	*	WP_035889179.1	WP_001066162.1	*	WP_164649298.1	*	*	WP_097401925.1	WP_054306366.1	WP_041209279.1	WP_203326656.1	WP_033645211.1	WP_206819265.1	WP_207325780.1	*	*	*	WP_100142868.1	WP_224431848.1	WP_005308387.1	WP_061799747.1	WP_042651975.1	*
25	25	0.443	*	*	*	WP_041717139.1	*	*	WP_019453839.1	WP_064567320.1	WP_065368832.1	*	WP_077680566.1	*	*	*	*	*	WP_126166482.1	*	*	WP_015378665.1	WP_050780264.1	*	*	WP_071920612.1	WP_019829641.1	*	WP_164648337.1	*	*	WP_193822236.1	WP_062779336.1	WP_042031270.1	WP_203326659.1	WP_160204469.1	WP_206819669.1	WP_207325784.1	*	WP_005006508.1	WP_219307869.1	WP_245003080.1	WP_224432560.1	WP_226014393.1	WP_095098621.1	WP_042651514.1	*
25	25	0.433	*	*	*	*	*	*	WP_019452665.1	WP_064566103.1	WP_065368409.1	*	WP_017057522.1	WP_088133059.1	*	WP_088904307.1	*	*	WP_126166364.1	WP_076769921.1	*	WP_015378009.1	WP_004725741.1	*	*	WP_035885555.1	WP_149560370.1	*	WP_164647869.1	*	*	WP_193820483.1	WP_054305011.1	WP_042032030.1	WP_239002094.1	WP_060660661.1	WP_194759568.1	WP_207325865.1	*	*	*	WP_245003182.1	WP_042042882.1	WP_024941347.1	WP_061795142.1	WP_042653641.1	*
25	25	0.43	*	*	*	*	*	*	WP_019455010.1	WP_064568484.1	WP_065369341.1	*	WP_046223625.1	WP_021019195.1	*	WP_033538317.1	*	*	WP_237158798.1	WP_023480363.1	*	WP_004933005.1	WP_004727778.1	*	*	WP_007373060.1	WP_000935051.1	*	WP_164650202.1	*	*	WP_086870410.1	WP_054307759.1	WP_042029520.1	WP_203324028.1	WP_033641809.1	WP_011707802.1	WP_207325998.1	*	*	*	WP_100142730.1	WP_224431525.1	WP_017781235.1	WP_095095695.1	WP_042654416.1	*
25	25	0.429	*	*	*	*	*	*	WP_063918160.1	WP_043954992.1	WP_065369297.1	WP_010948530.1	WP_077681751.1	WP_088135239.1	*	*	WP_094089884.1	*	*	WP_128483637.1	WP_028386724.1	WP_015376656.1	WP_004727097.1	WP_143866200.1	*	WP_007373162.1	WP_001217715.1	*	WP_164650679.1	*	WP_173238224.1	WP_086870544.1	WP_015670931.1	WP_005348017.1	*	WP_015376656.1	WP_017409231.1	*	*	*	*	*	WP_224431121.1	WP_005298297.1	WP_061794977.1	WP_042652729.1	*
25	25	0.425	*	*	*	*	*	*	WP_004931092.1	WP_007369231.1	WP_096325419.1	*	WP_009848877.1	WP_088134040.1	*	WP_033540389.1	*	*	WP_126168496.1	WP_023479321.1	*	WP_004931092.1	WP_004728517.1	*	*	WP_007369231.1	WP_000007388.1	*	WP_164647034.1	*	*	WP_086873298.1	WP_015962322.1	WP_033113622.1	WP_203325208.1	WP_004931092.1	WP_016349028.1	WP_207321177.1	*	*	*	WP_100146021.1	WP_042042726.1	WP_005307594.1	WP_061799749.1	WP_042655046.1	*
25	25	0.425	*	*	*	*	*	*	WP_019453173.1	WP_064563340.1	WP_017457288.1	*	WP_077679909.1	WP_021019750.1	*	WP_088903667.1	*	*	WP_126169303.1	WP_076769265.1	*	WP_033631995.1	WP_050780245.1	*	*	WP_007369862.1	WP_230612884.1	*	WP_164649225.1	*	*	WP_017457288.1	WP_054305566.1	WP_042032258.1	WP_203325867.1	WP_096242628.1	WP_039212856.1	WP_207324766.1	*	*	*	WP_221049903.1	WP_224431422.1	WP_201882141.1	WP_061797038.1	WP_042651867.1	*
25	25	0.422	WP_041705059.1	*	WP_041025874.1	WP_197020946.1	*	WP_062844461.1	*	*	*	WP_010947715.1	WP_017057672.1	*	WP_011513882.1	WP_088904973.1	WP_094091407.1	WP_096298940.1	WP_126167368.1	*	WP_028386698.1	*	WP_004727083.1	WP_058501627.1	WP_144889584.1	*	WP_000883441.1	*	*	*	WP_173237664.1	*	*	WP_042032032.1	WP_203324220.1	*	*	WP_207320193.1	*	*	*	WP_025010903.1	WP_042042880.1	WP_005300093.1	*	WP_042653643.1	WP_201499014.1
25	25	0.389	*	*	WP_082027595.1	*	WP_062534373.1	WP_062845774.1	WP_063919816.1	WP_043956731.1	WP_017457669.1	*	WP_077681241.1	WP_088135108.1	WP_011512397.1	*	*	*	WP_126169329.1	WP_023480863.1	*	WP_044030750.1	*	*	*	WP_007370338.1	*	*	WP_164648563.1	*	*	WP_086873586.1	WP_054306723.1	WP_042030500.1	*	WP_019453821.1	WP_206818789.1	WP_207326317.1	*	*	*	*	WP_224432071.1	WP_201880169.1	WP_061795697.1	WP_042651811.1	WP_201498263.1
25	25	0.386	*	*	*	*	*	*	WP_015377575.1	WP_064566004.1	WP_016495810.1	*	WP_077680035.1	WP_088133387.1	*	WP_088904066.1	*	*	WP_126167729.1	WP_023478892.1	*	WP_015377575.1	WP_004724754.1	*	*	WP_007371862.1	WP_000933142.1	*	WP_164647661.1	*	*	WP_016495810.1	WP_054307640.1	WP_042030055.1	WP_203324548.1	WP_033642759.1	WP_206818568.1	WP_207320477.1	*	*	*	WP_039034284.1	WP_042040828.1	WP_201885164.1	WP_061799134.1	WP_042652663.1	*
25	25	0.385	*	*	*	*	*	*	WP_063919777.1	WP_064564887.1	WP_065370473.1	*	WP_077680096.1	WP_021018877.1	*	WP_088905685.1	*	*	WP_126168638.1	WP_128482503.1	*	WP_033632519.1	WP_004725056.1	*	*	WP_149288506.1	WP_095477198.1	*	WP_164647787.1	*	*	WP_193820798.1	WP_054306500.1	WP_198493464.1	WP_203325347.1	WP_033651932.1	WP_206819261.1	WP_207324956.1	*	*	*	WP_245003114.1	WP_224431844.1	WP_201882599.1	WP_095098536.1	WP_042651970.1	*
25	25	0.378	*	*	*	*	*	*	WP_019452546.1	WP_064568876.1	WP_065369789.1	*	WP_017055548.1	WP_088133830.1	*	WP_088905841.1	*	*	WP_126169555.1	WP_023479540.1	*	WP_033631486.1	WP_038150722.1	*	*	WP_035889543.1	WP_001149666.1	*	WP_164647070.1	*	*	WP_193821546.1	WP_054305780.1	WP_043850949.1	WP_203325143.1	WP_019452546.1	WP_206819233.1	WP_228289649.1	*	*	*	WP_221051240.1	WP_224431813.1	WP_010635310.1	WP_061798840.1	WP_042651930.1	*
25	25	0.374	WP_011589203.1	*	WP_008734209.1	WP_014993478.1	*	*	*	*	*	WP_010948529.1	WP_017055955.1	WP_021020233.1	*	WP_088903715.1	WP_094089885.1	WP_096300391.1	WP_126165684.1	*	WP_028386725.1	*	WP_004728679.1	WP_143866198.1	WP_144889978.1	*	WP_095464571.1	*	WP_164647329.1	*	WP_173238223.1	*	*	WP_041210371.1	WP_203325023.1	*	WP_011704812.1	WP_207320920.1	*	*	*	WP_100144799.1	WP_042039607.1	WP_017763817.1	*	WP_042654292.1	*
25	25	0.374	WP_011589551.1	WP_041757551.1	WP_008736286.1	WP_014992974.1	WP_227514276.1	WP_084387323.1	*	*	*	WP_010946247.1	*	*	WP_011513024.1	WP_033540833.1	WP_094091741.1	WP_245815785.1	WP_126168910.1	*	WP_115152879.1	*	*	WP_143865313.1	WP_144891481.1	*	*	WP_160241704.1	*	WP_163164651.1	WP_173236143.1	*	*	*	WP_203325577.1	*	*	WP_207325098.1	WP_151814949.1	WP_005013404.1	WP_219307594.1	WP_221050116.1	*	*	*	*	WP_227676366.1
25	25	0.373	*	*	*	*	WP_062536597.1	WP_062845796.1	WP_033631409.1	WP_074922641.1	WP_017459656.1	*	WP_077680535.1	*	WP_049751819.1	WP_088903506.1	*	*	WP_126168702.1	WP_076768849.1	*	WP_033631409.1	*	*	WP_144890051.1	WP_007369294.1	*	*	*	*	*	WP_193821520.1	WP_054307596.1	WP_042029511.1	WP_203325402.1	WP_033645117.1	WP_206818975.1	*	*	*	*	WP_219159191.1	WP_224431522.1	WP_043170586.1	WP_095094903.1	WP_042654406.1	WP_227676785.1
25	25	0.352	*	*	*	*	*	*	WP_004937507.1	WP_043954975.1	WP_065369287.1	*	WP_017056635.1	WP_027694227.1	*	WP_088905370.1	*	*	WP_126165807.1	WP_023480494.1	*	WP_048325353.1	WP_004729027.1	*	*	WP_043954975.1	WP_000393919.1	*	WP_164649096.1	*	*	WP_017457957.1	WP_054307103.1	WP_042031646.1	WP_203326020.1	WP_004937507.1	WP_206819311.1	WP_207324598.1	*	*	*	WP_221049677.1	WP_042044234.1	WP_005308639.1	WP_061798610.1	WP_042652094.1	*
25	25	0.346	*	*	*	*	*	*	WP_004928171.1	WP_064567456.1	WP_017456215.1	*	WP_077680353.1	WP_088132917.1	*	WP_088904736.1	*	*	WP_126166756.1	WP_054803107.1	*	WP_004928171.1	WP_014205103.1	*	*	WP_007374173.1	WP_046121601.1	*	WP_164648204.1	*	*	WP_097400195.1	WP_015671790.1	WP_041207787.1	WP_203326858.1	WP_004928171.1	WP_206819953.1	WP_207319918.1	*	*	*	WP_100142687.1	WP_224432879.1	WP_201882240.1	WP_061798018.1	WP_042653786.1	*
